03/02/22 08:31:31:925 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 17716 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
03/02/22 08:31:32:130 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 17716 | Fetching server URL from dispatch table
03/02/22 08:31:32:132 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 17716 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
03/02/22 08:31:32:281 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 17716 | Delete server domain blocked key
03/02/22 08:31:32:281 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17716 | Sandbox process request: 3 || ServerDomainBlocked * AdobeGenuineNSLookUpData *  | 
03/02/22 08:31:32:476 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 17856 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
03/02/22 08:31:32:641 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 17856 | Fetching server URL from dispatch table
03/02/22 08:31:32:736 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 17856 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
03/02/22 08:31:32:850 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 17856 | Delete server domain blocked key
03/02/22 08:31:32:850 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17856 | Sandbox process request: 3 || ServerDomainBlocked * AdobeGenuineNSLookUpData *  | 
03/02/22 08:31:34:716 | [ERROR] |  |  |  | IPCXMLUtilityLog |  |  | 17716 | IPC Server : Failed to make connection on named pipe, Error = 536
03/02/22 08:31:34:717 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17716 | Sandbox process response: 
03/02/22 08:31:34:717 | [ERROR] |  |  |  | AdobeGCClientNSLookup |  |  | 17716 | Failed to delete server domain blocked key. Error: 0
03/02/22 08:31:34:717 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 17716 | Delete server alias blocked key
03/02/22 08:31:34:717 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17716 | Sandbox process request: 3 || ServerAliasBlocked * AdobeGenuineNSLookUpData *  | 
03/02/22 08:31:35:060 | [ERROR] |  |  |  | IPCXMLUtilityLog |  |  | 17856 | IPC Server : Failed to make connection on named pipe, Error = 536
03/02/22 08:31:35:060 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17856 | Sandbox process response: 
03/02/22 08:31:35:060 | [ERROR] |  |  |  | AdobeGCClientNSLookup |  |  | 17856 | Failed to delete server domain blocked key. Error: 0
03/02/22 08:31:35:060 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 17856 | Delete server alias blocked key
03/02/22 08:31:35:060 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17856 | Sandbox process request: 3 || ServerAliasBlocked * AdobeGenuineNSLookUpData *  | 
03/02/22 08:31:37:292 | [ERROR] |  |  |  | IPCXMLUtilityLog |  |  | 17856 | IPC Server : Failed to make connection on named pipe, Error = 536
03/02/22 08:31:37:292 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17856 | Sandbox process response: 
03/02/22 08:31:37:292 | [ERROR] |  |  |  | AdobeGCClientNSLookup |  |  | 17856 | Failed to delete server alias blocked key. Error: 0
03/02/22 08:31:37:292 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 17856 | Delete server alias value
03/02/22 08:31:37:292 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17856 | Sandbox process request: 3 || ServerAlias * AdobeGenuineNSLookUpData *  | 
03/02/22 08:31:37:353 | [ERROR] |  |  |  | IPCXMLUtilityLog |  |  | 17716 | IPC Server : Failed to make connection on named pipe, Error = 536
03/02/22 08:31:37:354 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17716 | Sandbox process response: 
03/02/22 08:31:37:354 | [ERROR] |  |  |  | AdobeGCClientNSLookup |  |  | 17716 | Failed to delete server alias blocked key. Error: 0
03/02/22 08:31:37:354 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 17716 | Delete server alias value
03/02/22 08:31:37:354 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17716 | Sandbox process request: 3 || ServerAlias * AdobeGenuineNSLookUpData *  | 
03/02/22 08:31:44:346 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17716 | Sandbox process response: 1 || 
03/02/22 08:31:44:347 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | Sandbox process response: 1 || 
03/02/22 08:31:44:347 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | Threaded CFU Started
03/02/22 08:31:44:347 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | Threaded CFU Started
03/02/22 08:31:44:347 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | Update call started
03/02/22 08:31:44:348 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | Update call started
03/02/22 08:31:44:348 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | Suppress Update Flag = 0
03/02/22 08:31:44:349 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | Suppress Update Flag = 0
03/02/22 08:31:44:349 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | GC Kill Switch = 0
03/02/22 08:31:44:349 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | GC Kill Switch = 0
03/02/22 08:31:44:349 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17716 | Sandbox process request: 1 || NextUpdateCheckDate * AdobeGenuineWaitTimestamps *  | 
03/02/22 08:31:44:349 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17856 | Sandbox process request: 1 || NextUpdateCheckDate * AdobeGenuineWaitTimestamps *  | 
03/02/22 08:31:44:762 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 17856 | Sandbox process response: 1 || 1646010184 *  | 
03/02/22 08:31:44:762 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | Sandbox process response: 1 || 1646010184 *  | 
03/02/22 08:31:44:762 | [ERROR] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | Time flag read
03/02/22 08:31:44:762 | [ERROR] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | Time flag read
03/02/22 08:31:44:820 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | LastUpdateCheckDurationPassed from cache 1646010184
03/02/22 08:31:44:821 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | LastUpdateCheckDurationPassed from cache 1646010184
